,type,physical_error_rate,d_x,d_z,d_m,distillation_time,distillation_qubits,distillation_error,distillation_failure_prob
0,15-to-1,0.0001,5,3,3,18.045236121725555,522,4.682161048985556e-06,0.0025068179446592342
1,15-to-1,0.0002,6,3,3,18.164763852394668,660,5.067551089976696e-06,0.009070519921620002
2,15-to-1,0.0003,7,3,3,18.391692893422594,810,3.637311496551554e-06,0.021297272398598688
3,15-to-1,0.0004,7,3,3,18.677341618069484,810,1.1688613341331866e-05,0.03626541891883517
4,15-to-1,0.0005,8,3,3,19.185454413507394,972,8.67597682641108e-06,0.061789227815880254
5,15-to-1,0.0006,9,4,3,19.529885595380776,1362,9.359223859362054e-06,0.07833561481500051
6,15-to-1,0.0007,9,4,4,25.013334887782893,1366,1.0548829216805444e-05,0.040511786706131314
7,15-to-1,0.0008,10,4,4,25.514312710586672,1576,7.693074671522027e-06,0.05935149920610394
8,15-to-1,0.0009,11,4,4,26.197612266959492,1798,9.916762564343706e-06,0.083885975735702
9,15-to-1,0.001,11,5,5,31.299992768833953,2066,8.11315743831642e-06,0.041533324893556545
10,15-to-1,0.0011,12,5,5,31.78990301608737,2324,6.250237845617512e-06,0.0563041357874412
11,15-to-1,0.0012,12,5,5,32.270496622123765,2324,1.1471920986716455e-05,0.07035827953658369
12,15-to-1,0.0013,13,6,5,32.47290288023675,2906,9.997542121165104e-06,0.07615281237273619
13,15-to-1,0.0014,13,6,6,37.973528956292256,2910,1.0855752871630209e-05,0.0519711759885102
14,15-to-1,0.0015,14,6,6,38.56520206339154,3216,9.117855197970925e-06,0.06651597622060912
15,15-to-1,0.0016,14,7,7,43.854143424733564,3556,1.2037664591124653e-05,0.04227977746084155
16,15-to-1,0.0017,15,7,7,44.32942720889932,3898,8.806728311827605e-06,0.05254810078916783
17,15-to-1,0.0018,16,7,7,44.930296653535606,4252,7.923329267800483e-06,0.06521872482017133
18,15-to-1,0.0019,16,7,7,45.51530503365477,4252,1.2890905256135454e-05,0.07723347192895869
19,15-to-1,0.002,17,8,7,45.6969708722514,5026,1.1712271095531968e-05,0.08090188040223723
